Date,Close,Naive,ARIMA
2020-08-05,106.8670654296875,106.48109436035156,106.91305050752477
2020-08-06,110.59557342529295,106.8670654296875,106.28105439799418
2020-08-07,108.0811004638672,110.59557342529295,111.00032110113887
2020-08-10,109.6520538330078,108.0811004638672,107.75146122572428
2020-08-11,106.3910140991211,109.6520538330078,109.97150121761399
2020-08-12,109.92682647705078,106.3910140991211,106.3139561883452
2020-08-13,111.8722915649414,109.92682647705078,109.78087631148212
2020-08-14,111.77257537841795,111.8722915649414,111.5656556441431
2020-08-17,111.4807357788086,111.77257537841795,112.17788706309359
2020-08-18,112.4097137451172,111.4807357788086,111.116195454462
2020-08-19,112.55072784423828,112.4097137451172,112.60458912296035
2020-08-20,115.0482177734375,112.55072784423828,112.41098701923667
2020-08-21,120.97692108154295,115.0482177734375,114.83367474812312
2020-08-24,122.42383575439452,120.97692108154295,120.52191006893896
2020-08-25,121.41950988769533,122.42383575439452,122.51210753005394
2020-08-26,123.07067108154295,121.41950988769533,121.58927421246094
2020-08-27,121.59945678710938,123.07067108154295,122.66139895654081
2020-08-28,121.40247344970705,121.59945678710938,122.0954709577219
2020-08-31,125.51949310302734,121.40247344970705,121.11788094260665
2020-09-01,130.519287109375,125.51949310302734,125.16053908113625
2020-09-02,127.81507873535156,130.519287109375,130.33205541465662
2020-09-03,117.5821304321289,127.81507873535156,128.13568504267874
2020-09-04,117.65995025634766,117.5821304321289,118.61320599278721
2020-09-08,109.74202728271484,117.65995025634766,118.08570629025576
2020-09-09,114.11924743652344,109.74202728271484,110.5343072116203
2020-09-10,110.39373779296876,114.11924743652344,112.91621061170234
2020-09-11,108.94440460205078,110.39373779296876,111.60451388097974
2020-09-14,112.2127456665039,108.94440460205078,108.53289100647874
2020-09-15,112.38780212402344,112.2127456665039,111.71328767716189
2020-09-16,109.07085418701172,112.38780212402344,113.1409115001169
2020-09-17,107.32967376708984,109.07085418701172,108.59318167716029
2020-09-18,103.92515563964844,107.32967376708984,108.05129390849882
2020-09-21,107.07674407958984,103.92515563964844,103.70488513762167
2020-09-22,108.75958251953124,107.07674407958984,106.8947577679824
2020-09-23,104.19751739501952,108.75958251953124,108.69778575161999
2020-09-24,105.2675323486328,104.19751739501952,104.74338875055078
2020-09-25,109.21675872802734,105.2675323486328,104.8331049801594
2020-09-28,111.8236312866211,109.21675872802734,108.93539437940049
2020-09-29,110.97737884521484,111.8236312866211,111.90675590078098
2020-09-30,112.6504364013672,110.97737884521484,110.86847124054502
2020-10-01,113.6037139892578,112.6504364013672,112.67509389117362
2020-10-02,109.93656158447266,113.6037139892578,113.36227441608175
2020-10-05,113.3216323852539,109.93656158447266,110.59179200117893
2020-10-06,110.07276916503906,113.3216323852539,112.50765760317721
2020-10-07,111.94037628173828,110.07276916503906,110.8262794724934
2020-10-08,111.8333511352539,111.94037628173828,111.54497979384215
2020-10-09,113.77879333496094,111.8333511352539,111.66595194594527
2020-10-12,121.00608825683594,113.77879333496094,114.17185229916416
2020-10-13,117.79611206054688,121.00608825683594,119.51556535372089
2020-10-14,117.88365936279295,117.79611206054688,119.41837745768497
2020-10-15,117.4167709350586,117.88365936279295,116.81763331726481
2020-10-16,115.77286529541016,117.4167709350586,117.86918687643532
2020-10-19,112.8158187866211,115.77286529541016,116.13057391177087
2020-10-20,114.30406188964844,112.8158187866211,112.3740152444083
2020-10-21,113.68153381347656,114.30406188964844,114.90095963129184
2020-10-22,112.5920867919922,113.68153381347656,112.97414361181765
2020-10-23,111.90144348144533,112.5920867919922,113.43881462681212
2020-10-26,111.91118621826172,111.90144348144533,111.30119347349802
2020-10-27,113.4188995361328,111.91118621826172,112.27352346893792
2020-10-28,108.1662139892578,113.4188995361328,113.15581235931718
2020-10-29,112.17382049560548,108.1662139892578,108.69146009560187
2020-10-30,105.89007568359376,112.17382049560548,111.69825579035194
